v_gene	j_gene	v_trim	j_trim	N	ligation_mh
TRAV13-1*01	TRAJ37*02	-2	-2	1	0
TRAV13-1*01	TRAJ37*02	-2	-1	2	0
TRAV13-1*01	TRAJ37*02	-2	0	1	0
TRAV13-1*01	TRAJ37*02	-2	1	1	0
TRAV13-1*01	TRAJ37*02	-2	2	1	0
TRAV13-1*01	TRAJ37*02	-2	3	1	0
TRAV13-1*01	TRAJ37*02	-2	4	1	0
TRAV13-1*01	TRAJ37*02	-2	5	1	0
TRAV13-1*01	TRAJ37*02	-2	6	2	0
TRAV13-1*01	TRAJ37*02	-2	7	2	0
TRAV13-1*01	TRAJ37*02	-2	8	1	0
TRAV13-1*01	TRAJ37*02	-2	9	1	0
TRAV13-1*01	TRAJ37*02	-2	10	2	0
TRAV13-1*01	TRAJ37*02	-2	11	2	0
TRAV13-1*01	TRAJ37*02	-2	12	1	0
TRAV13-1*01	TRAJ37*02	-2	13	2	0
TRAV13-1*01	TRAJ37*02	-2	14	1	0
TRAV13-1*01	TRAJ37*02	-1	-2	1	0
TRAV13-1*01	TRAJ37*02	-1	-1	2	0
TRAV13-1*01	TRAJ37*02	-1	0	2	0
TRAV13-1*01	TRAJ37*02	-1	1	1	0
TRAV13-1*01	TRAJ37*02	-1	2	1	0
TRAV13-1*01	TRAJ37*02	-1	3	1	0
TRAV13-1*01	TRAJ37*02	-1	4	2	0
TRAV13-1*01	TRAJ37*02	-1	5	1	0
TRAV13-1*01	TRAJ37*02	-1	6	2	0
TRAV13-1*01	TRAJ37*02	-1	7	1	0
TRAV13-1*01	TRAJ37*02	-1	8	1	0
TRAV13-1*01	TRAJ37*02	-1	9	1	0
TRAV13-1*01	TRAJ37*02	-1	10	1	0
TRAV13-1*01	TRAJ37*02	-1	11	1	0
TRAV13-1*01	TRAJ37*02	-1	12	1	0
TRAV13-1*01	TRAJ37*02	-1	13	1	0
TRAV13-1*01	TRAJ37*02	-1	14	1	0
TRAV13-1*01	TRAJ37*02	0	-2	1	0
TRAV13-1*01	TRAJ37*02	0	-1	2	0
TRAV13-1*01	TRAJ37*02	0	0	1	0
TRAV13-1*01	TRAJ37*02	0	1	1	0
TRAV13-1*01	TRAJ37*02	0	2	1	0
TRAV13-1*01	TRAJ37*02	0	3	1	0
TRAV13-1*01	TRAJ37*02	0	4	1	0
TRAV13-1*01	TRAJ37*02	0	5	1	0
TRAV13-1*01	TRAJ37*02	0	6	2	0
TRAV13-1*01	TRAJ37*02	0	7	2	0
TRAV13-1*01	TRAJ37*02	0	8	1	0
TRAV13-1*01	TRAJ37*02	0	9	1	0
TRAV13-1*01	TRAJ37*02	0	10	2	0
TRAV13-1*01	TRAJ37*02	0	11	2	0
TRAV13-1*01	TRAJ37*02	0	12	1	0
TRAV13-1*01	TRAJ37*02	0	13	2	0
TRAV13-1*01	TRAJ37*02	0	14	1	0
TRAV13-1*01	TRAJ37*02	1	-2	1	0
TRAV13-1*01	TRAJ37*02	1	-1	1	0
TRAV13-1*01	TRAJ37*02	1	0	2	0
TRAV13-1*01	TRAJ37*02	1	1	1	0
TRAV13-1*01	TRAJ37*02	1	2	1	0
TRAV13-1*01	TRAJ37*02	1	3	1	0
TRAV13-1*01	TRAJ37*02	1	4	2	0
TRAV13-1*01	TRAJ37*02	1	5	1	0
TRAV13-1*01	TRAJ37*02	1	6	2	0
TRAV13-1*01	TRAJ37*02	1	7	1	0
TRAV13-1*01	TRAJ37*02	1	8	1	0
TRAV13-1*01	TRAJ37*02	1	9	1	0
TRAV13-1*01	TRAJ37*02	1	10	1	0
TRAV13-1*01	TRAJ37*02	1	11	1	0
TRAV13-1*01	TRAJ37*02	1	12	1	0
TRAV13-1*01	TRAJ37*02	1	13	1	0
TRAV13-1*01	TRAJ37*02	1	14	1	0
TRAV13-1*01	TRAJ37*02	2	-2	1	0
TRAV13-1*01	TRAJ37*02	2	-1	1	0
TRAV13-1*01	TRAJ37*02	2	0	1	0
TRAV13-1*01	TRAJ37*02	2	1	2	0
TRAV13-1*01	TRAJ37*02	2	2	2	0
TRAV13-1*01	TRAJ37*02	2	3	1	0
TRAV13-1*01	TRAJ37*02	2	4	1	0
TRAV13-1*01	TRAJ37*02	2	5	1	0
TRAV13-1*01	TRAJ37*02	2	6	1	0
TRAV13-1*01	TRAJ37*02	2	7	2	0
TRAV13-1*01	TRAJ37*02	2	8	2	0
TRAV13-1*01	TRAJ37*02	2	9	1	0
TRAV13-1*01	TRAJ37*02	2	10	1	0
TRAV13-1*01	TRAJ37*02	2	11	1	0
TRAV13-1*01	TRAJ37*02	2	12	1	0
TRAV13-1*01	TRAJ37*02	2	13	1	0
TRAV13-1*01	TRAJ37*02	2	14	1	0
TRAV13-1*01	TRAJ37*02	3	-2	1	0
TRAV13-1*01	TRAJ37*02	3	-1	2	0
TRAV13-1*01	TRAJ37*02	3	0	1	0
